,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
32,A True Story ,"Cameron Fife, Tyler McGee, Katrina Bowden, Jon Gries, Malcolm Goodwin, Keith Loneker, Kelen Coleman, Chelsea Logan, Sugar Lyn Beard, Andy Anderson",NR,Unknown Date            ,This comedic show-biz fable begins with a pair of down-and-out writers trying to sell their co-written screenplay to climb out of poverty.,Malcolm Goodwin,1hr 36m,,"Independent Comedies, Independent Films, Comedies",5.5/10,http://www.imdb.com/title/tt1524083/,https://art-s.nflximg.net/cc387/ed8c9430f3be982016a9af2751233551f34cc387.jpg,2.8/5,2013
33,A Very Murray Christmas ,"George Clooney, Bill Murray, Chris Rock, Michael Cera, Amy Poehler, Miley Cyrus, Jason Schwartzman, Jenny Lewis, Paul Shaffer, Maya Rudolph, Rashida Jones, Phoenix",TV-MA,4th December 2015            ,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",Sofia Coppola,56m,56min                ,"TV Programmes, TV Comedies, Festive Favourites",5.5/10,http://www.imdb.com/title/tt4537842/,https://art-s.nflximg.net/10572/91f11388323f0a3de56f7cb62009a4f42b410572.jpg,3.1/5,2015
34,A Very Secret Service ,"Christophe Kourotchkine, Hugo Becker, Bruno Paviot, Karim Barras, Jean-Édouard Bodziak, Wilfred Benaïche, Joséphine de La Baume, Marie-Julie Baup, Antoine Gouy, Mathilde Warnier, Julie Farenc",TV-14,30th June 2016            ,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",,1 Season,24min                ,"TV Programmes, TV Comedies",7.6/10,http://www.imdb.com/title/tt4367560/,https://art-s.nflximg.net/fe640/81f350f25268f335399c5dab8b30a765523fe640.jpg,3.3/5,2015
35,A Young Doctor's Notebook and Other Stories ,"Daniel Radcliffe, Adam Godley, Jon Hamm, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Shaun Pye, Tim Steed, Margaret Clunie",TV-MA,15th September 2014            ,"Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",,2 Seasons,23min                ,"British TV Dramas, TV Programmes, Medical TV Dramas, British TV Programmes, TV Dramas, TV Comedies, British TV Comedies, TV Comedy Dramas, 20th Century Period Pieces",,,https://art-s.nflximg.net/360df/d4d44ae594e1287df72583e3a7d6f0b7524360df.jpg,3.8/5,2013
36,The A-List ,"Hal Sparks, Alyson Stoner, Elizabeth Bond, Katie O'Grady, Hudson Thames, Skyler Vallo",NR,5th September 2015            ,A geeky guidance counselor gets a chance to live out her teenage dreams by making a deal with a popular student who needs one more credit to graduate.,Will Bigham,1hr 46m,,"Independent Comedies, Comedies, Independent Films",5.3/10,http://www.imdb.com/title/tt2308682/,https://art-s.nflximg.net/e7773/edf50c7e644d0f072a4bf7b57a6bdb451ebe7773.jpg,3.4/5,2015
37,A.C.O.D. ,"Richard Jenkins, Catherine O'Hara, Adam Scott, Amy Poehler, Mary Elizabeth Winstead, Clark Duke, Ken Howard, Jessica Alba, Jane Lynch",R,1st May 2016            ,"After enduring decades of conflict between his divorced parents, Carter unearths surprising facts about his past that only increase the tumult.",Stu Zicherman,1hr 27m,,"Dark Comedies, Comedies, Independent Films",5.7/10,http://www.imdb.com/title/tt1311060/,https://art-s.nflximg.net/bc192/da02a014df25ce627740dda2f5ae46e03d5bc192.jpg,3.4/5,2013
38,Aaron Karo: The Rest Is History ,Aaron Karo,NR,Unknown Date            ,"Funnyman Aaron Karo raises the comedy bar as he uncorks his witty observations on bridesmaids' speeches, being a 30-year-old bachelor and more.",Jay Chapman,1hr 5m,,"Stand-up Comedy, Comedies",5.2/10,http://www.imdb.com/title/tt1646877/,https://art-s.nflximg.net/c40c0/e8ffbf324daf7fc4cd17d43f7f86dc5318ac40c0.jpg,2.8/5,2010
39,About a Boy ,"Minnie Driver, Al Madrigal, David Walton, Benjamin Stockham",TV-PG,15th September 2014            ,An immature man is amazed when his new neighbors -- a ditzy single mom and her odd 11-year-old son -- awaken unexpected feelings of responsibility.,,2 Seasons,22min                ,"TV Programmes, Sitcoms, TV Comedies",7.1/10,http://www.imdb.com/title/tt0276751/,https://art-s.nflximg.net/0d77c/c08cb8056f8784f9a899e5d7b80ab6297eb0d77c.jpg,4.3/5,2014
40,Addams Family Values ,"Joan Cusack, Anjelica Huston, Raul Julia, Carol Kane, Christopher Lloyd, Christina Ricci, Christine Baranski, Dana Ivey, David Krumholtz, Peter MacNicol, Carel Struycken, Jimmy Workman, Kaitlyn Hooper, Kristen Hooper, Christopher Hart",PG-13,3rd November 2015            ,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia.",Barry Sonnenfeld,1hr 34m,,Comedies,6.6/10,http://www.imdb.com/title/tt0106220/,https://art-s.nflximg.net/ad78c/99b2ccdf0a3e7f6df9199c977fee81b6dc9ad78c.jpg,3.8/5,1993
41,The Addams Family ,"Anjelica Huston, Raul Julia, Christopher Lloyd, Christina Ricci, Dan Hedaya, Elizabeth Wilson, Judith Malina, Carel Struycken, Dana Ivey, Paul Benedict, Jimmy Workman, Christopher Hart, John Franklin",PG-13,Unknown Date            ,"Stepping out of the pages of Charles Addams' cartoons and the 1960s television series, members of the beloved, macabre family take to the big screen.",Barry Sonnenfeld,1hr 39m,,Comedies,6.8/10,http://www.imdb.com/title/tt0101272/,https://art-s.nflximg.net/86bb6/60f50e550f0a7549dcf13573249dfe0281886bb6.jpg,3.7/5,1991
